	nom	typerestaurant	ville	codepostal	rue	rue2	telephone	mobile	cravings	extras	prix	stationdemetro	Latitude	Longitude
0	Polissons	Restaurant	Paris	75018	35, rue Ramey			+33 6 46 63 57 50	Néobistrot	Antidépresseur,  Terrasse,  13 à table,  Manger seul 	De 36 à 50 €	Château Rouge,  Lamarck-Caulaincourt,  Jules Joffrin	48.8891668	2.3462458999999853
1	Le Dauphin	Restaurant	Paris	75011	131, av. Parmentier		+33 1 55 28 78 88		Tapas,  Bar à vins / Cave à manger	Antidépresseur,  Voir et se faire voir,  Manger seul 	De 36 à 50 €	Goncourt	48.869447	2.371115400000008
2	Le Chien de la Lune	Restaurant	Paris	75018	22, rue de Jessaint		+33 1 42 62 40 60 		Bistrot,  Cuisine du marché	Antidépresseur,  Terrasse	De 16 à 35 €	La Chapelle	48.8850919	2.3553627000000006
3	Le 6 Paul Bert	Restaurant	Paris	75011	6, rue Paul-Bert		+33 1 43 79 14 32		Néobistrot	Ouvert le lundi,  Antidépresseur,  Manger seul 	De 36 à 50 €	Faidherbe - Chaligny	48.8513318	2.3846753000000263
4	Eels	Restaurant	Paris	75010	27, rue d'Hauteville		+33 1 42 28 80 20		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Terrasse	Plus de 51 €	Bonne Nouvelle,  Château d'Eau	48.8732428	2.350104999999985
5	Brutos	Restaurant	Paris	75011	5, rue du Général-Renault		+33 1 48 06 98 97		Néobistrot,  Viandes / Grillades	Ouvert le dimanche,  Antidépresseur,  Terrasse,  13 à table	De 36 à 50 €	Saint-Ambroise	48.8615187	2.3781291000000238
6	Hero	Restaurant	Paris	75002	289, rue Saint-Denis		+33 1 42 33 38 01		Coréen	Ouvert le dimanche,  Ouvert le lundi,  Take-away,  Manger seul 	De 16 à 35 €	Strasbourg-Saint-Denis	48.86949910000001	2.3523430999999846
7	Virtus	Restaurant	Paris	75012	29, rue de Cotte		+33 9 80 68 08 08		Cuisine d'auteur,  Cuisine du marché,  Néobistrot	Antidépresseur	Plus de 51 €	Faidherbe - Chaligny,  Ledru Rollin	48.8501852	2.377965099999983
8	Elmer	Restaurant	Paris	75003	30, rue Notre-Dame-de-Nazareth		+33 1 43 56 22 95		Cuisine d'auteur,  Néobistrot,  Viandes / Grillades	Antidépresseur,  Terrasse,  13 à table	Plus de 51 €	Temple	48.86742719999999	2.359420699999987
9	Prosper et Fortunée	Restaurant	Paris	75005	50, rue Broca		+33 1 43 37 70 39		Cuisine d'auteur,  Néobistrot	Antidépresseur	Plus de 51 €	Les Gobelins,  Censier - Daubenton	48.8376222	2.347202599999946
10	Tzeferakos	Restaurant	Paris	75005	24, rue Monge		+ 33 1 46 34 76 27		Grec,  Lèche-doigts	Ouvert le dimanche,  Take-away,  Terrasse	De 16 à 35 €	Cardinal Lemoine	48.8468959	2.3511320999999725
11	CheZaline	Restaurant	Paris	75011	85, rue de la Roquette		+33 1 43 71 90 75		Sandwichs / Bagels,  Lèche-doigts	Ouvert le lundi,  Take-away,  Antidépresseur,  Terrasse,  Manger seul 	Moins de 15 €	Voltaire	48.8571274	2.378407799999991
12	Pierre Sang in Oberkampf	Restaurant	Paris	75011	55, rue Oberkampf		+33 9 67 31 96 80 		Cuisine d'auteur,  Néobistrot	Ouvert le dimanche,  Ouvert le lundi,  Kid friendly,  Antidépresseur	De 16 à 35 €	Oberkampf,  Parmentier	48.8647218	2.3724244999999655
13	Le Chateaubriand	Restaurant	Paris	75011	129, av. Parmentier		+33 1 43 57 45 95		Cuisine d'auteur,  Néobistrot	Antidépresseur,  Fais-moi mal	Plus de 51 €	Goncourt	48.8693593	2.371313999999984
